Sector,Stock P/E,Price to book value,Debt to equity,Return on equity,Return on assets,Buy
Banking,2.4,14.1,0.17,-2.1,19.5,1
Real Estate,1.6,3.5,3.64,17.2,9.7,1
Infrastructure,10.6,10.2,0.99,-5.8,29.8,1
Energy,24.3,13.2,4.13,-4.7,16.5,0
Financial Services,31.8,5.1,0.77,27.4,25.8,1
Telecommunications,14.6,1.6,4.58,10.9,4.7,0
Automobiles,87.3,15,1.82,29.3,7.6,0
Information Technology,11.1,11.3,0.12,7.6,31.2,1
Infrastructure,75.4,9.7,4.67,24.7,22.2,0
Information Technology,5.9,1.8,0.38,25.8,16.6,1
Consumer Services,76.4,1.6,2.69,14.9,15.3,0
Information Technology,67.2,1.2,0.56,37.3,2.6,1
Telecommunications,10.7,3,5.59,-3,0.5,0
Energy,37.6,0.7,1.82,8.5,24.2,1
Banking,19.5,12.9,4.12,-5.5,15.3,0
Real Estate,9.6,10.8,4.41,-7.9,-3.5,0
Consumer Goods,27.7,17.5,0.15,34.3,2.2,1
Financial Services,3.4,8.2,2.78,-9,18,0
Consumer Goods,26.9,13.4,1.58,-2.2,18.7,0
Metals and Mining,17.8,1.4,1.67,10.8,7.6,0
Financial Services,49.6,1.5,3.21,24.3,0.1,0
Metals and Mining,67.7,3.3,0.64,28,6.4,0
Banking,64.7,5.4,1.33,33.5,16.1,1
Real Estate,2.5,14.9,2.8,25.2,25.6,1
Energy,57.9,3.7,3.48,30.7,21.8,1
Energy,8.5,1.8,1.62,34.7,27.8,1
Energy,13.4,0,4.57,29.1,-3.6,1
Banking,73.8,5.5,5.11,-1.6,15.5,0
Information Technology,27.3,2.8,2.91,24,3.3,0
Textiles,88.5,13,4.85,-3.6,8.4,0
Chemicals,64.3,4.2,1.8,5.8,5.8,0
Consumer Goods,97.6,20,4.47,3,9.1,0
Metals and Mining,55.1,10.2,0.49,22.4,12.5,1
Consumer Services,59.8,6.2,3.34,33.1,-2.1,0
Banking,69.6,3.6,0.72,19.6,-2.4,0
Energy,54.5,1,0.81,34.5,12.2,1
Textiles,13.6,4.8,2.71,35.2,12,1
Banking,12.6,10.1,1.32,30.7,12.6,1
Energy,70.5,8.4,4.04,-9.3,21.9,0
Real Estate,18.7,14,4.01,38.3,14.1,1
Pharmaceuticals,16.4,5.5,3.01,1.2,24.8,0
Real Estate,18.1,12.9,3.4,2,25,0
Infrastructure,86.8,1.4,1.11,12.3,25.2,1
Chemicals,1.1,8.8,3.6,-4.4,16.8,0
Consumer Services,0.8,1.3,0.12,36,-0.1,1
Metals and Mining,61.3,0.2,3.99,29.2,22.6,1
Financial Services,19.6,10.4,2,3.7,-2.3,0
Chemicals,73.3,11.9,2.37,-4,14.3,0
Banking,86.9,10.9,1.77,33.5,27.5,1
Information Technology,61.5,13.9,3.24,-4.5,30.1,0
Infrastructure,65.3,8.7,3.13,5.4,17.1,0
Chemicals,3.9,7,2.52,29.7,-2.9,0
Consumer Services,75,12.2,0.69,8.4,12.8,0
Automobiles,1.2,5.7,4.98,9.2,5.4,0
Information Technology,6.7,9.1,0.7,33.1,15.1,1
Chemicals,95.2,2.1,4.68,38.8,22,1
Consumer Goods,109.5,1.4,0.19,29.6,25.3,1
Financial Services,18.4,6.7,0.17,22.3,11.4,1
Pharmaceuticals,18,1.7,0.88,-2.5,-3.4,1
Financial Services,75.1,11,0.29,17.5,15.1,0
Infrastructure,88.8,8.6,1.31,34.9,6,0
Consumer Goods,89.7,22.2,1.79,32.8,4.9,0
Textiles,68.6,0.7,4.52,24.3,9.3,1
Automobiles,35.1,3.4,1.9,38.7,-1.7,0
Pharmaceuticals,48,2.3,3.38,33.3,14.2,1
Financial Services,11.7,0.2,0.04,21.7,3.7,1
Textiles,16.7,8,4.23,-1.6,11.1,0
Consumer Goods,53.7,19.5,3.16,15.7,18.4,0
Energy,71.3,0,3.08,31.7,1.8,0
Automobiles,46.3,5.9,3.11,12.4,16.8,0
Chemicals,8.4,3,3.19,-8.8,12.5,1
Textiles,13.1,2,0.72,-5.7,8.9,1
Financial Services,89.7,8.4,3.56,-0.1,15.3,0
Real Estate,39.1,12.3,4.09,-5.8,0.1,0
Automobiles,65.1,1.3,1.3,32.7,28.3,1
Banking,52.4,5.6,1.37,8.8,27.8,0
Banking,71.9,12.7,1.28,18.7,6.7,1
Information Technology,28.7,13.6,1.7,17.8,11.8,0
Chemicals,71.9,3.8,2.9,-9.6,18.5,0
Automobiles,30.6,0.6,1.26,-0.5,20,1
Consumer Services,0.4,1.2,4.63,22.2,1.4,1
Metals and Mining,0.2,7,0.7,13.4,5.3,1
Consumer Goods,106.7,11,2.59,39.1,34.1,0
Banking,38.2,4,4.64,29.6,26.2,0
Banking,64,13.2,2.32,32.9,-0.4,0
Pharmaceuticals,63.7,8.9,1.69,6.8,17.7,0
Infrastructure,36.8,7.5,0.71,26.1,13.4,1
Financial Services,75.2,12.8,3.69,25.3,16.5,0
Financial Services,79.2,0.6,2.17,11.8,16.1,0
Chemicals,87.5,15,1.89,35.7,16.3,0
Metals and Mining,76.9,5,1.81,6.7,14.9,0
Consumer Goods,97.3,4.5,4.15,45.3,35.1,1
Real Estate,3.4,1.6,0.04,-9.6,16.2,1
Consumer Services,78.1,1,1.71,6.7,21.3,0
Chemicals,67.8,11.4,3.18,33.5,30,0
Chemicals,96.5,11.1,0.41,34.1,17.5,1
Consumer Services,26.1,13.5,2.07,-2.8,28.8,0
Consumer Services,10,1.4,1.01,-7.4,18.3,1
Energy,16.2,0.6,2.92,13.4,9.7,0
Textiles,26.8,11.7,1.12,33.3,26.9,1
Banking,41.3,0.8,5.01,39.4,0.6,0
Automobiles,5.9,10.6,1.7,15,11.7,0
Consumer Goods,101,12.4,2.94,45.4,-5,0
Real Estate,27.6,1,0.77,6.7,8.4,1
Telecommunications,24.9,12,2.59,26.6,10.3,1
Banking,83.2,2.3,3.03,0.7,5.5,0
Real Estate,81.5,13.6,0.3,22.4,25.4,1
Infrastructure,7.7,6.8,0.63,2.9,15.6,1
Energy,4.1,5.3,2.55,23.4,22.4,1
Consumer Goods,94.9,5.6,3.73,-8.6,33.3,0
Consumer Services,85.4,6.4,2.72,29.7,20.9,0
Chemicals,31.3,7.1,2.51,0.9,28,0
Energy,63.5,3.6,1.01,23.3,25.4,1
Banking,60.7,8.9,3.09,24.8,26.6,0
Metals and Mining,38.2,0.1,1.54,37.2,21.1,1
Information Technology,41.9,5.6,1.12,27.1,32.3,0
Information Technology,41.1,7.4,1.41,30.6,37.1,0
Infrastructure,21.3,1.9,2.99,31.9,-3.5,1
Metals and Mining,32.4,12.1,4.25,27.4,0.2,0
Textiles,17.3,2.4,4.59,-3,-5,0
Chemicals,2.4,9.4,1.27,33.1,20.4,1
Telecommunications,67.5,8.7,3.45,5,6.2,0
Automobiles,35.9,0.6,2.49,25.3,16.2,1
Textiles,7.5,2.3,3.42,24.2,18.3,1
Energy,24.8,6.2,5.89,23,26.1,1
Consumer Services,25.1,4.3,0.34,-5.7,-4.3,0
Automobiles,37.4,13.5,2.33,10.8,-0.8,0
Pharmaceuticals,19.8,9.8,1.81,25.7,26.1,1
Textiles,60.7,8.5,2.81,6.8,22.2,0
Banking,84.8,7.4,0.31,18.9,8.4,1
Banking,40,9.7,5.59,32.5,28.7,0
Infrastructure,5.8,2.6,1.25,38.4,23.9,1
Textiles,52.7,2,2.91,30.1,3.4,0
Automobiles,68.1,10.2,3.61,-4.2,1,0
Information Technology,46.6,5.7,2.72,2.9,23.5,0
Chemicals,86.4,7.3,4.29,7.4,15.6,0
Energy,32.6,8.6,4.27,-0.2,14.1,0
Real Estate,83.9,9,3.8,8.2,9.3,0
Consumer Goods,27.5,23.8,3.53,-7,-4.1,0
Consumer Goods,64.5,22.6,1.08,2.6,31.6,0
Pharmaceuticals,76.6,13.1,4.81,37.9,4.1,0
Telecommunications,29.2,12.4,1.57,13.5,22.9,1
Infrastructure,59.9,14.8,4.13,31.1,19.6,0
Energy,80.2,0.1,0.07,-5.7,10.4,1
Chemicals,47.4,6.5,0.8,21.8,19.3,1
Infrastructure,46.3,12.6,3.08,35.3,11.8,0
Energy,17,13.9,0.24,-1.2,23.4,1
Metals and Mining,42.5,11.9,4.97,24.6,11.4,0
Banking,44.1,12.9,1.47,-1.9,25.1,0
Banking,77.6,6.3,4.55,-3.8,-2.3,0
Real Estate,16.7,9,1.28,8.7,28.1,1
Chemicals,51,2.7,2.44,12.1,-1.1,0
Automobiles,25.2,11.3,0.64,9.6,29.2,0
Information Technology,34.1,1.6,3.06,21.3,24.4,1
Energy,18.5,6.6,1.03,6.8,18.2,1
Textiles,77.7,8.7,1.33,3.4,23.6,0
Chemicals,10.4,0.6,3.88,-4.7,-2.5,0
Pharmaceuticals,0.8,5.6,4.6,34.5,13.2,1
Energy,66.3,11.6,2.8,3.1,4.8,0
Real Estate,79.4,14.5,1.02,1.1,7.3,0
Information Technology,21,10.2,3.09,34,31.2,1
Automobiles,23.1,14.5,3.17,-6.8,21.6,0
Automobiles,20.9,2.3,0.36,6.4,25,0
Consumer Services,28.2,13,4.16,-7.4,28,0
Consumer Services,14.6,10.8,4.85,21.1,21.4,1
Consumer Services,22.4,7.6,3.39,0.5,21.6,0
Metals and Mining,39,11.5,2.68,6.2,20.2,0
Consumer Services,65.9,5.8,3.72,39.1,12,0
Telecommunications,51,3,1.6,6.8,5.7,0
Automobiles,60.8,8.2,3.99,16.8,-1.7,0
Chemicals,70.6,12.9,2.87,1.5,12.7,0
Textiles,71.6,14.9,2.71,-3.5,24.4,0
Real Estate,57.9,1.8,0.55,17,4.7,1
Infrastructure,60.6,5.8,4.24,2.2,28.1,0
Real Estate,53.1,13.3,1.25,26.1,20.8,1
Banking,18.6,5.8,5.88,22.2,14.3,1
Consumer Services,57.6,2.9,4.23,23.8,3.5,0
Energy,60.2,13,5.15,29.9,0.6,0
Consumer Goods,62.4,14.7,1.96,25.3,24.4,0
Consumer Goods,42.1,20.4,2.55,17.1,14.6,0
Financial Services,34.1,3.8,2.52,6,19.7,0
Consumer Goods,65.9,2.7,1.29,39,1.7,0
Pharmaceuticals,12.1,5.4,4.16,23.3,25.1,1
Metals and Mining,8.2,10.2,3.32,-3.9,13.3,0
Chemicals,65.9,11.8,3.16,28.3,5.6,0
Telecommunications,9.8,2.3,3.89,1,26.9,1
Pharmaceuticals,22.8,9.5,3.75,10,10,0
Infrastructure,26.1,0.9,2.46,33.4,2.6,0
Automobiles,11.8,1.3,0.26,24.7,11.8,1
Banking,17.2,6.1,1.54,28.2,9.4,1
Energy,45.5,8.2,1.07,27.6,11.1,1
Information Technology,14.2,10.7,1.85,6.6,20.7,0
Information Technology,51.8,2.1,1.39,38.8,30,1
Banking,19.4,6,4.51,12,25.2,0
Telecommunications,76.8,10.8,4.9,11.1,5.6,0
Consumer Services,20.6,0.3,3.36,24.3,29.8,1
Real Estate,82,6.3,5.74,8.6,10.1,0
Textiles,46.2,13.6,3.1,32,-2,0
Textiles,49.5,8.3,4.02,0.3,-2.2,0
Information Technology,18,10.2,3.91,34.3,1.9,0
Information Technology,53.9,11.5,1.06,9,-0.7,0
Automobiles,17,11.6,1.61,-6.3,11,0
Automobiles,23.2,5.5,2.32,7.7,6.7,0
Banking,46.2,3.9,0.84,1.2,14.3,0
Chemicals,92.7,6.9,4.11,-4.1,15.1,0
Pharmaceuticals,11.6,4.3,3.2,-7.2,1.7,0
Textiles,64.4,0.3,3.3,33.4,2.8,0
Financial Services,52.9,0.5,0.51,5.7,16.9,1
Telecommunications,20.5,8.4,5.91,33.6,-3.4,0
Automobiles,81.1,5.6,4.05,10.1,3.2,0
Real Estate,37.2,5.1,2.99,37.5,9.6,0
Banking,47.6,4.4,3.24,7.3,-1.2,0
Information Technology,7.2,12.6,0.37,33.4,15.9,1
Telecommunications,22.7,12.7,1.54,-9.4,15.2,1
Textiles,23,4.2,2.31,11.3,11.9,0
Automobiles,4.9,1.4,0.55,39.9,15,1
Metals and Mining,14.4,12.4,0.92,4.5,19.1,1
Consumer Goods,14,16.5,0.32,35.9,23.2,1
Chemicals,73.3,14.2,3.51,-3.1,-2.1,0
Consumer Goods,98.1,6.4,4.87,44.5,23.5,1
Textiles,56.1,14.7,3.96,18.7,-0.1,0
Banking,53.5,15,0.52,22.5,12.3,1
Banking,57.6,9.5,4.22,17.6,18,0
Real Estate,37.1,13.8,5.51,15.3,-1.7,0
Metals and Mining,22,8.9,1.88,18.9,26.2,0
Infrastructure,16.9,9.4,4.79,20.9,24.1,1
Infrastructure,58.5,3.6,0.2,-8.6,0.4,0
Consumer Goods,16.3,19.1,0.32,45.5,18.4,1
Metals and Mining,62.5,8.7,4.14,-10,1.4,0
Banking,8.3,9.3,0.2,28.5,13.7,1
Telecommunications,38.3,5.7,1.03,14.9,18.2,1
Metals and Mining,54,6.8,0.35,1.8,12.1,0
Real Estate,59.5,1.6,1.42,7.8,1.5,0
Automobiles,17.8,0.9,2.34,38.9,15.4,1
Textiles,43.5,14.5,1.28,-0.5,29.5,0
Consumer Goods,36.5,11.9,4.14,26.4,15.3,0
Telecommunications,6.9,9,5.87,21.1,20.5,1
Telecommunications,15.1,2.1,2.76,18.7,24.9,1
Banking,7.4,11.3,0.65,37.2,11.6,1
Telecommunications,34.5,6,2.74,-3.7,4.3,0
Real Estate,12.3,10.2,4.96,25,27.8,1
Textiles,1.1,3.5,4.33,26.1,5.8,0
Energy,36.1,8.8,1.18,37.9,19,1
Infrastructure,23.6,8.5,4.35,36,17.7,1
Textiles,28.4,1.7,3.19,14.8,13.9,1
Consumer Goods,27.8,5.5,1.49,13.2,27.4,1
Metals and Mining,17.1,1.1,0.11,20.6,-4.8,1
Real Estate,63.8,12,1.7,23.8,24.5,1
Real Estate,24.1,12.9,1.33,11.8,28.3,0
Information Technology,21.6,0.4,0.89,19.5,34.5,1
Automobiles,80.9,6.3,2.57,-6.2,21.7,0
Information Technology,78.7,4.9,0.91,32.4,25.6,1
Textiles,83,13.2,0.54,27.5,20.8,1
Consumer Goods,90.9,9.4,2.23,15,9.5,0
Infrastructure,73.7,14.2,4.33,-1.9,24.5,0
Infrastructure,22.8,0.7,0.66,11.5,6.4,1
Textiles,26.3,10.7,3.41,-4.4,25.6,0
Infrastructure,85,6.6,4.43,1.4,3.5,0
Real Estate,0.5,11.3,0.61,12.7,16,1
Metals and Mining,66.1,6.8,0.69,12.5,17.3,1
Banking,2.6,0.8,5.9,25.4,23.1,1
Telecommunications,73.9,9.8,1.46,25.6,22.9,1
Metals and Mining,1.7,5.1,2.69,12.3,18.8,1
Automobiles,83.9,8.1,0.31,0.7,7,0
Banking,57.1,10.6,1.52,39.8,12.8,1
Textiles,47.2,11.5,2.84,12.6,8.1,0
Information Technology,72.2,8.1,0.59,27.6,2.2,0
Metals and Mining,30.2,0.6,1.98,30.8,14.1,1
Chemicals,35.9,4.1,0.83,15.1,22.2,1
Real Estate,54,0.8,4.9,16.2,22.2,1
Telecommunications,95.9,1.7,4.8,0.4,22.6,0
Real Estate,62,7.4,1.17,17.1,-3.6,0
Consumer Goods,30.6,19,4.97,45.4,5.2,0
Consumer Services,64.2,0.2,1.26,17.6,28.4,1
Metals and Mining,88.4,4.8,0.83,20,18.6,1
Consumer Services,14.1,6,2.9,15.3,1.2,0
Infrastructure,87.3,10.7,3.83,35.1,3.1,0
Banking,32.6,8.8,3.71,-1.4,-1.4,0
Metals and Mining,68,4.4,1.52,39,22.5,0
Energy,51.1,12,1.45,19.8,3,0
Consumer Goods,64.2,12.1,2.67,-2.1,23.2,0
Automobiles,83.8,2.6,4.11,-8.8,1.2,0
Consumer Goods,38.5,2,4.64,48.7,23,1
Automobiles,13.4,7.5,1.42,16.5,-4.7,1
Pharmaceuticals,9.9,3.9,2.26,38.1,28.6,1
Automobiles,20.9,8.9,0.03,-9.1,-0.6,0
Textiles,86.9,5,3.5,34,2.5,0
Infrastructure,68.7,11.4,2.03,7.2,18.9,0
Textiles,62.7,13.2,4.14,36.5,29.2,0
Automobiles,34.6,11.8,1.2,14.8,5.2,0
Telecommunications,46.4,2.3,0.11,-6.3,28.1,1
Metals and Mining,5.2,8,3.96,6.7,16.3,0
Pharmaceuticals,87.1,13.5,0.42,5.5,6.4,0
Energy,9.6,8,5.2,9.9,-2.7,0
Consumer Goods,34.2,9.9,1.94,2.9,3.3,0
Chemicals,52.4,7.2,1.42,-3,25.3,0
Real Estate,87.9,14.4,1.36,16.8,15.8,1
Banking,76.7,1.4,3.55,33.7,25.9,1
Pharmaceuticals,9.4,7.2,0.33,17.6,23.7,1
Infrastructure,77.9,12.6,3.2,-7.4,11.7,0
Pharmaceuticals,18.6,1.4,3.4,28.1,17.6,1
Metals and Mining,5,3,0.77,7.3,5.5,0
Metals and Mining,14,5.9,0.84,36.6,16.8,1
Automobiles,45.9,4.2,0.49,39.7,24.4,1
Consumer Goods,45.4,16.3,4.12,14.3,35.8,0
Consumer Goods,21.4,5.6,4.55,48.1,7.1,1
Consumer Services,85.1,13.9,3.2,22.3,-1.1,0
Telecommunications,38,0.7,0.26,33.5,15.2,1
Textiles,16.8,6.8,1.35,37.4,2.4,1
Financial Services,47,4.4,3.51,-9.6,18,0
Telecommunications,86.6,9.3,1.18,23.5,12,1
Pharmaceuticals,43.1,12.9,1.54,19.2,16.9,0
Metals and Mining,75.8,7.7,3.15,37.7,21.2,0
Textiles,39.6,5.6,0.94,22.5,3.2,0
Metals and Mining,28.1,7.1,4.75,-3.7,4.3,0
Infrastructure,30.9,5.2,2.48,-7.7,18,0
Automobiles,73.4,2.6,4.89,28.2,-0.7,0
Information Technology,9.3,10.9,3.86,23.6,32.2,1
Pharmaceuticals,74,3.6,0.33,-2.4,14.7,1
Textiles,19,0.6,3.35,36.9,21.6,1
Energy,1.8,11.8,5.33,13.8,14.4,0
Chemicals,39.3,1.4,3.31,-1.9,-2.8,0
Infrastructure,4.1,2.6,0.81,9.1,2.7,1
Energy,87.5,9.4,2.3,0.4,-4.4,0
Energy,33.3,12.3,5.41,5.1,11.6,0
Infrastructure,8.7,11.7,2.38,38.6,11.5,1
Real Estate,11.2,8.1,4.16,30.5,23.4,1
Chemicals,44.1,8.9,4.15,13.9,25,0
Metals and Mining,2.1,4.8,1.51,33.4,13.3,1
Metals and Mining,45.3,9.1,2.47,6.4,24.7,0
Banking,21.2,3.6,5.08,6.3,-4.7,0
Chemicals,36.8,4.3,2.85,21.7,17.6,1
Metals and Mining,14.6,1.4,0.3,-0.7,24.9,1
Infrastructure,14.2,14.5,4.29,16,13.3,1
Infrastructure,9.4,1.1,2.98,-8.3,9.6,1
Banking,67.5,13.2,3.72,-1.3,12.3,0
Consumer Services,82.4,1,0.2,19,17.8,1
Infrastructure,20.5,7.2,2.95,29,15.9,1
Textiles,28.2,3.6,2,5.9,8.2,0
Banking,26.4,10.5,1.38,28.6,29.2,1
Real Estate,25.9,7.1,2.81,27.4,6.9,0
Automobiles,75.1,8.5,0.22,-3.4,1.3,0
Chemicals,72,5.1,4.99,11.7,15.5,0
Consumer Services,44.3,0.7,4.52,26.3,11.5,1
Infrastructure,29.4,2.1,4.56,34.2,16.1,1
Energy,73.5,1.7,4.49,33.7,10.8,1
Infrastructure,25.5,1.5,2.11,-0.7,20.6,0
Pharmaceuticals,64.8,5.2,2.61,-3.2,3.1,0
Information Technology,61.6,3.6,0.37,44.5,8.7,1
Information Technology,0.3,4.8,3.72,42.5,-0.8,0
Consumer Goods,33.2,21.5,0.83,32.6,36.4,1
Chemicals,90.4,2.2,4.57,36.9,11.3,0
Metals and Mining,50.9,11.4,0.4,38.6,27.9,1
Metals and Mining,31.3,12.7,4.9,21.8,13.4,0
Infrastructure,28.3,4.7,3.81,-7,20.9,0
Financial Services,47.7,11.1,0.31,14.9,27.5,0
Automobiles,46.6,14.9,4.56,35.6,7,0
Chemicals,1.6,6.1,2.83,31.3,18.5,1
Metals and Mining,26.9,7.5,3.57,19.2,5.6,0
Financial Services,29.3,8.7,0.67,19.4,26.9,1
Infrastructure,28.2,4,2.68,28.3,-3.3,0
Consumer Services,61.7,10.8,2.55,14.7,2.9,0
Information Technology,74.1,14.5,2.1,-7.7,14.4,0
Chemicals,9.9,10.9,4.59,22.7,6.2,0
Infrastructure,69,1.2,0.1,8.6,5.1,0
Textiles,10.6,2.6,4.8,17.5,12.1,1
Textiles,55.2,14.5,4.44,-1.2,11.1,0
Chemicals,78.3,3.3,3.38,3.2,0.4,0
Textiles,1.1,2.8,0.98,0,27,1
Chemicals,87.5,11,0.02,22.2,17.2,1
Pharmaceuticals,20,0.6,3.49,19.7,10.9,1
Metals and Mining,67.7,1.9,0.38,6.4,26.4,0
Consumer Services,67,12,3.39,12,20.2,0
Chemicals,45.8,7.1,0.64,28.7,-2.9,0
Pharmaceuticals,31,9.7,4.2,21.3,11.6,0
Chemicals,23.4,7.6,2.59,35.6,18.8,1
Energy,48.9,11.4,3.91,18.5,-4.2,0
Infrastructure,48.2,6.2,4.23,-3.2,17.6,0
Infrastructure,65.2,7.8,0.91,28.9,16.8,1
Chemicals,80.2,0.4,2.48,34.2,13.4,1
Banking,72.6,13,0.41,3.1,2.1,0
Consumer Services,82,9.5,0.18,23.5,9.9,0
Automobiles,35.4,11.4,3.15,32.5,25.5,0
Consumer Goods,35.1,20.9,0.71,-6.3,35,1
Metals and Mining,10.3,4.1,1.8,16.5,-3.8,0
Energy,13.9,8.2,1.67,1.1,13.2,1
Pharmaceuticals,19.8,14.9,0.58,16.9,18.6,1
Energy,45.3,6.2,0.75,30.6,19.8,1
Banking,51.5,8.6,3.52,13.8,10,0
Banking,17.3,2.7,4.36,19.2,-0.8,1
Pharmaceuticals,33.9,10.9,0.18,8,-1,0
Energy,80.3,5.7,2.3,6,4.3,0
Telecommunications,13.9,14.2,0.19,15.4,13.3,1
Chemicals,57.1,1.3,2.97,33.5,28.2,1
Textiles,61.4,8.5,0.91,38.3,21.7,1
Energy,58,6.3,2.32,12.7,5.7,0
Real Estate,57.6,14.5,3.08,30.4,8.5,0
Metals and Mining,84.6,2.9,0.33,3.8,15,0
Telecommunications,48.1,9.1,3.63,-8.5,4.1,0
Chemicals,24.8,14.1,0.94,10.8,-5,0
Pharmaceuticals,61.9,4.6,2.56,3.5,21,0
Telecommunications,28.5,0.7,5.36,11.7,9.2,1
Infrastructure,39,9.1,2.48,0.7,4.8,0
Real Estate,27.1,6,0.67,38,-0.6,0
Real Estate,14.8,12.5,4.21,-3.1,22,0
Chemicals,41.9,11,3.14,5,4.6,0
Real Estate,2.6,3.5,0.21,31,3.6,1
Consumer Services,15.9,2.9,0.23,15.9,7.1,1
Information Technology,86.6,8.1,1,37.5,19.5,0
Infrastructure,87.3,13.9,0.17,32.9,14.7,1
Metals and Mining,62.5,5.1,0.87,21.9,25.2,1
Banking,18.9,1.9,3.62,-9.6,8.9,1
Real Estate,21.4,13.5,2.05,1.4,26.3,0
Banking,67.2,13.7,3.91,14.2,-0.4,0
Real Estate,38.2,1.9,4.03,26.8,14.8,1
Real Estate,53.6,11.4,5.75,35.1,14.5,0
Telecommunications,29.1,8.9,0.79,32.8,-1.9,1
Chemicals,6.6,0.6,3.41,-1.1,13.9,1
Telecommunications,63.5,13.5,3.81,25.7,3.2,0
Pharmaceuticals,36.6,0,0.59,18.1,16.7,1
Consumer Goods,33.5,4.1,3.49,29.2,-2.7,1
Consumer Services,17.4,14.9,2.31,11.5,21.6,0
Chemicals,49.4,5.6,0.04,18,24.8,0
Banking,7.2,12.5,0.39,0.4,10.5,1
Textiles,75.9,11,2.38,31.7,21.9,0
Energy,40.9,1.5,4.11,34.2,18.3,1
Textiles,28.8,0.8,4.11,13.8,13.9,1
Real Estate,13,2.5,4.41,-7.4,19.1,0
Banking,35.8,11.7,5.23,3.2,-1,0
Real Estate,87.5,1.5,2.24,6,0.3,0
Banking,53.8,11.6,3.65,1.2,10.4,0
Banking,3.9,6.6,0.2,14.5,25.4,1
Telecommunications,3.6,11.7,4.85,39.3,10.5,1
Pharmaceuticals,30.8,6.7,2.39,0.1,2.7,0
Textiles,67.5,5.1,0.93,-8.7,16.4,0
Information Technology,25.5,10.3,4.28,-3,16.9,0
Financial Services,21.1,14.2,0.83,37.9,7.3,1
